epoch,hp_metric,loss,step,val_loss
,4.1173858642578125,,0,
0,,-1.4471498727798462,49,
0,,-1.3736153841018677,99,
0,,-0.14143219590187073,149,
0,,-0.626392126083374,199,
0,,-0.4967535734176636,249,
0,,-0.2899113893508911,299,
0,,-0.17884843051433563,349,
0,,-0.7961927652359009,399,
0,,-0.5211386680603027,449,
0,,-0.9494653940200806,499,
,-0.7454119324684143,,528,
0,,,527,-0.7454119324684143
1,,-0.23984932899475098,549,
1,,-1.6846702098846436,599,
1,,-1.0442535877227783,649,
1,,-1.2747644186019897,699,
1,,-0.7870723605155945,749,
1,,-0.3896803855895996,799,
1,,-1.7446987628936768,849,
1,,0.29461073875427246,899,
1,,-0.6170635223388672,949,
1,,-1.2179936170578003,999,
1,,-1.0146565437316895,1049,
,-0.8852382898330688,,1056,
1,,,1055,-0.8852382898330688
2,,-0.30266982316970825,1099,
2,,-1.1219643354415894,1149,
2,,-0.7958480715751648,1199,
2,,0.9208259582519531,1249,
2,,-0.6069780588150024,1299,
2,,-0.2403806447982788,1349,
2,,-0.9705421924591064,1399,
2,,-0.3201925754547119,1449,
2,,-1.4592978954315186,1499,
2,,-2.0457773208618164,1549,
,-0.9904190897941589,,1584,
2,,,1583,-0.9904190897941589
3,,-0.9222469329833984,1599,
3,,-1.359889268875122,1649,
3,,-1.3681833744049072,1699,
3,,0.05162683129310608,1749,
3,,-1.8643215894699097,1799,
3,,-1.2486703395843506,1849,
3,,-0.8938649892807007,1899,
3,,-1.264890193939209,1949,
3,,-0.22616827487945557,1999,
3,,-1.047029972076416,2049,
3,,-0.119535893201828,2099,
,-0.9991676807403564,,2112,
3,,,2111,-0.9991676807403564
4,,-0.2552593946456909,2149,
4,,-1.3005850315093994,2199,
4,,-1.8133447170257568,2249,
4,,-0.8344171047210693,2299,
4,,-1.147749900817871,2349,
4,,-0.8551633358001709,2399,
4,,-0.7384743690490723,2449,
4,,-0.8530709743499756,2499,
4,,-0.9925758838653564,2549,
4,,-1.2179197072982788,2599,
,-0.5918172597885132,,2640,
4,,,2639,-0.5918172597885132
5,,-0.4499610960483551,2649,
5,,-1.1313308477401733,2699,
5,,-0.8692798614501953,2749,
5,,-0.10894501209259033,2799,
5,,-0.8607951402664185,2849,
5,,-0.35185790061950684,2899,
5,,-1.6535835266113281,2949,
5,,-2.988757610321045,2999,
5,,-1.042158842086792,3049,
5,,-2.1437389850616455,3099,
5,,-1.710932731628418,3149,
,-1.0782170295715332,,3168,
5,,,3167,-1.0782170295715332
6,,-0.5753918290138245,3199,
6,,-0.17425021529197693,3249,
6,,-0.623529851436615,3299,
6,,-0.23786157369613647,3349,
6,,-0.9148380160331726,3399,
6,,-0.005695760250091553,3449,
6,,-0.6769487261772156,3499,
6,,-1.4892269372940063,3549,
6,,-0.013287067413330078,3599,
6,,-1.2870937585830688,3649,
,-1.1058671474456787,,3696,
6,,,3695,-1.1058671474456787
7,,-1.3013237714767456,3699,
7,,-1.2806909084320068,3749,
7,,-0.7999885678291321,3799,
7,,-1.644267201423645,3849,
7,,-0.18583546578884125,3899,
7,,-1.7073763608932495,3949,
7,,-0.5477744340896606,3999,
7,,-0.4640246033668518,4049,
7,,-0.06342530250549316,4099,
7,,-0.3125994801521301,4149,
7,,-3.2603988647460938,4199,
,-1.0701013803482056,,4224,
7,,,4223,-1.0701013803482056
8,,-1.4739307165145874,4249,
8,,0.3581520617008209,4299,
8,,-1.4204241037368774,4349,
8,,-1.2070368528366089,4399,
8,,-0.6400076150894165,4449,
8,,-1.7780961990356445,4499,
8,,-1.9068235158920288,4549,
8,,-3.5527007579803467,4599,
8,,-1.382519006729126,4649,
8,,-1.0104570388793945,4699,
8,,-0.5386223793029785,4749,
,-1.0927985906600952,,4752,
8,,,4751,-1.0927985906600952
9,,-1.4009840488433838,4799,
9,,-2.229147434234619,4849,
9,,-2.374359607696533,4899,
9,,-1.814284086227417,4949,
9,,-1.0904929637908936,4999,
9,,-0.6416113376617432,5049,
9,,-1.952178955078125,5099,
9,,-2.265723943710327,5149,
9,,-2.6496105194091797,5199,
9,,-0.3787604570388794,5249,
,-1.1680583953857422,,5280,
9,,,5279,-1.1680583953857422
10,,-1.0830237865447998,5299,
10,,-0.9685282111167908,5349,
10,,-0.9969801306724548,5399,
10,,-0.22996875643730164,5449,
10,,-1.8158212900161743,5499,
10,,-0.1898583471775055,5549,
10,,-0.6102906465530396,5599,
10,,0.24188637733459473,5649,
10,,-1.2640012502670288,5699,
10,,-1.843408465385437,5749,
10,,-0.38345617055892944,5799,
,-1.1709429025650024,,5808,
10,,,5807,-1.1709429025650024
11,,-2.4027485847473145,5849,
11,,-0.9056362509727478,5899,
11,,0.17513777315616608,5949,
11,,-1.6535484790802002,5999,
11,,-2.337078094482422,6049,
11,,-2.128124237060547,6099,
11,,-0.0152817964553833,6149,
11,,0.09159833192825317,6199,
11,,-1.9717543125152588,6249,
11,,-0.11120697855949402,6299,
,-1.252578616142273,,6336,
11,,,6335,-1.252578616142273
12,,-1.5885027647018433,6349,
12,,-3.1207332611083984,6399,
12,,-0.8669561147689819,6449,
12,,-1.9446051120758057,6499,
12,,-0.8512406349182129,6549,
12,,-1.0296201705932617,6599,
12,,-0.2141473889350891,6649,
12,,0.10650528967380524,6699,
12,,-1.2588191032409668,6749,
12,,-0.8372988104820251,6799,
12,,-0.33115917444229126,6849,
,-1.2252253293991089,,6864,
12,,,6863,-1.2252253293991089
13,,-0.7162085771560669,6899,
13,,-1.5098204612731934,6949,
13,,-0.9901961088180542,6999,
13,,-0.8373762369155884,7049,
13,,-1.8241277933120728,7099,
13,,-1.3462172746658325,7149,
13,,-2.1062755584716797,7199,
13,,-1.0378541946411133,7249,
13,,-2.1154866218566895,7299,
13,,-0.6847838163375854,7349,
,-1.1976964473724365,,7392,
13,,,7391,-1.1976964473724365
14,,-1.8734967708587646,7399,
14,,-1.5341569185256958,7449,
14,,-0.2483627200126648,7499,
14,,-1.3398382663726807,7549,
14,,-1.470038652420044,7599,
14,,-0.6481257677078247,7649,
14,,-0.7290701866149902,7699,
14,,-0.116708904504776,7749,
14,,-0.7213364839553833,7799,
14,,-1.4124864339828491,7849,
14,,-0.9389768242835999,7899,
,-1.1773316860198975,,7920,
14,,,7919,-1.1773316860198975
15,,-0.24479621648788452,7949,
15,,-0.6856740713119507,7999,
15,,-1.3286141157150269,8049,
15,,-0.2398693561553955,8099,
15,,-0.7720202207565308,8149,
15,,-0.7297471761703491,8199,
15,,-2.344754219055176,8249,
15,,-1.8330047130584717,8299,
15,,-0.729819118976593,8349,
15,,-0.4042968153953552,8399,
,-1.2627243995666504,,8448,
15,,,8447,-1.2627243995666504
16,,-0.7185467481613159,8449,
16,,-1.7071924209594727,8499,
16,,-0.5871875286102295,8549,
16,,-0.3160475492477417,8599,
16,,-0.5484845638275146,8649,
16,,-0.3729115426540375,8699,
16,,-1.4250154495239258,8749,
16,,0.09203594923019409,8799,
16,,-1.867680311203003,8849,
16,,-1.571843147277832,8899,
16,,-3.0284900665283203,8949,
,-1.325132131576538,,8976,
16,,,8975,-1.325132131576538
17,,-2.851879596710205,8999,
17,,-0.45271769165992737,9049,
17,,-2.2390735149383545,9099,
17,,-1.6062132120132446,9149,
17,,-2.670717239379883,9199,
17,,-0.8478155732154846,9249,
17,,-0.6315519213676453,9299,
17,,-1.543257236480713,9349,
17,,-0.03346909582614899,9399,
17,,-0.03749731183052063,9449,
17,,0.4976717233657837,9499,
,-1.1106476783752441,,9504,
17,,,9503,-1.1106476783752441
18,,-2.387726306915283,9549,
18,,-1.2802414894104004,9599,
18,,-2.251028060913086,9649,
18,,-0.7140257358551025,9699,
18,,-0.3823648691177368,9749,
18,,-0.7669755816459656,9799,
18,,-1.4523696899414062,9849,
18,,-1.6663448810577393,9899,
18,,-1.1897728443145752,9949,
18,,-1.6221630573272705,9999,
,-1.1412383317947388,,10032,
18,,,10031,-1.1412383317947388
19,,-1.3861685991287231,10049,
19,,-1.750074863433838,10099,
19,,-1.5618785619735718,10149,
19,,-1.2016863822937012,10199,
19,,-0.23403072357177734,10249,
19,,-1.0833995342254639,10299,
19,,-1.2516539096832275,10349,
19,,-0.5648820400238037,10399,
19,,-0.8469105362892151,10449,
19,,-0.6707118153572083,10499,
19,,-1.7359459400177002,10549,
,-1.272892713546753,,10560,
19,,,10559,-1.272892713546753
20,,-0.7954785823822021,10599,
20,,-1.129793643951416,10649,
20,,-1.0685460567474365,10699,
20,,0.0709892213344574,10749,
20,,-0.2667945325374603,10799,
20,,-2.3078346252441406,10849,
20,,-0.9171807765960693,10899,
20,,-2.332212448120117,10949,
20,,-1.7227497100830078,10999,
20,,-1.9712212085723877,11049,
,-1.347562551498413,,11088,
20,,,11087,-1.347562551498413
21,,-1.3959542512893677,11099,
21,,-3.5319459438323975,11149,
21,,-2.3104710578918457,11199,
21,,-0.7439103722572327,11249,
21,,-2.177081346511841,11299,
21,,-1.9364378452301025,11349,
21,,-0.4436933994293213,11399,
21,,-1.0909695625305176,11449,
21,,-1.484354853630066,11499,
21,,-1.363227128982544,11549,
21,,-0.7804555296897888,11599,
,-1.3238316774368286,,11616,
21,,,11615,-1.3238316774368286
22,,-1.9350640773773193,11649,
22,,-1.224746584892273,11699,
22,,-0.010206788778305054,11749,
22,,-1.6489570140838623,11799,
22,,0.6017974615097046,11849,
22,,-1.0790971517562866,11899,
22,,-1.9905190467834473,11949,
22,,-1.123052954673767,11999,
22,,-0.8400599956512451,12049,
22,,-0.5050791501998901,12099,
,-1.254716157913208,,12144,
22,,,12143,-1.254716157913208
23,,-0.5015553832054138,12149,
23,,-1.3805445432662964,12199,
23,,-0.6092758178710938,12249,
23,,-2.0396599769592285,12299,
