epoch,hp_metric,loss,step,val_loss
,4.924915313720703,,0,
0,,0.8525238633155823,49,
0,,-0.06800875067710876,99,
0,,-1.6353185176849365,149,
0,,-0.0457397997379303,199,
0,,-0.07656009495258331,249,
0,,0.42948734760284424,299,
0,,-1.447714924812317,349,
0,,-0.9161349534988403,399,
0,,-1.198838710784912,449,
0,,-0.5225304365158081,499,
0,,-0.42814406752586365,549,
0,,-1.8504924774169922,599,
,-0.35706448554992676,,608,
0,,,607,-0.35706448554992676
1,,0.14924751222133636,649,
1,,-0.20303860306739807,699,
1,,-0.655673623085022,749,
1,,-0.846900463104248,799,
1,,-1.3895983695983887,849,
1,,-0.9499824047088623,899,
1,,-0.05725979804992676,949,
1,,-0.10322907567024231,999,
1,,-1.198470115661621,1049,
1,,-1.1250197887420654,1099,
1,,-0.44654327630996704,1149,
1,,-0.29276978969573975,1199,
,-0.4345041811466217,,1216,
1,,,1215,-0.4345041811466217
2,,-0.19740022718906403,1249,
2,,-1.9634103775024414,1299,
2,,-0.5015647411346436,1349,
2,,-0.18168780207633972,1399,
2,,-0.03728674352169037,1449,
2,,-0.18018706142902374,1499,
2,,-0.41104620695114136,1549,
2,,-1.0524040460586548,1599,
2,,-0.2758469581604004,1649,
2,,-1.5170598030090332,1699,
2,,-0.6601649522781372,1749,
2,,-0.8902435302734375,1799,
,-0.36353248357772827,,1824,
2,,,1823,-0.36353248357772827
3,,-0.14130407571792603,1849,
3,,-0.6815273761749268,1899,
3,,-0.5349506139755249,1949,
3,,-1.5872802734375,1999,
3,,-0.17339666187763214,2049,
3,,-0.9057266712188721,2099,
3,,-0.5107166171073914,2149,
3,,-0.14615404605865479,2199,
3,,-0.46533167362213135,2249,
3,,0.1164972186088562,2299,
3,,-0.4508363604545593,2349,
3,,-1.3750452995300293,2399,
,-0.5527232885360718,,2432,
3,,,2431,-0.5527232885360718
4,,-0.8056949973106384,2449,
4,,-0.13422593474388123,2499,
4,,-0.18908755481243134,2549,
4,,-0.7199388146400452,2599,
4,,-0.6133931875228882,2649,
4,,-0.9294334650039673,2699,
4,,-0.6434723138809204,2749,
4,,0.06593528389930725,2799,
4,,-0.280656099319458,2849,
4,,-0.058145999908447266,2899,
4,,-0.15450076758861542,2949,
4,,-0.7848445773124695,2999,
,-0.6239955425262451,,3040,
4,,,3039,-0.6239955425262451
5,,-0.3928295969963074,3049,
5,,-0.6668990850448608,3099,
5,,0.12403251230716705,3149,
5,,-0.25812530517578125,3199,
5,,-0.1260402649641037,3249,
5,,-1.4745917320251465,3299,
5,,0.017949312925338745,3349,
5,,-1.6821337938308716,3399,
5,,-0.8549627065658569,3449,
5,,-1.3542100191116333,3499,
5,,-0.44746825098991394,3549,
5,,0.4921056628227234,3599,
,-0.7086939811706543,,3648,
5,,,3647,-0.7086939811706543
6,,-0.3828120827674866,3649,
6,,-1.0858765840530396,3699,
6,,-1.166478157043457,3749,
6,,0.5772420167922974,3799,
6,,-0.23203478753566742,3849,
6,,-0.749972939491272,3899,
6,,-1.3734368085861206,3949,
6,,-1.0248382091522217,3999,
6,,-0.29318881034851074,4049,
6,,-1.2609429359436035,4099,
6,,-0.43104732036590576,4149,
6,,-0.9196943640708923,4199,
6,,-1.67832612991333,4249,
,-0.7698832154273987,,4256,
6,,,4255,-0.7698832154273987
7,,-0.4673365354537964,4299,
7,,-0.6627539396286011,4349,
7,,-1.2605655193328857,4399,
7,,1.5624293088912964,4449,
7,,-0.2800460755825043,4499,
7,,-0.6051274538040161,4549,
7,,-0.4273929297924042,4599,
7,,-0.40205612778663635,4649,
7,,-1.6734216213226318,4699,
7,,-0.6462247371673584,4749,
7,,-0.4224240183830261,4799,
7,,-0.4130108952522278,4849,
,-0.7222570180892944,,4864,
7,,,4863,-0.7222570180892944
8,,-0.6792110204696655,4899,
8,,0.7273709774017334,4949,
8,,-0.3834923505783081,4999,
8,,-0.5423203110694885,5049,
8,,-0.05933922529220581,5099,
8,,-1.5302948951721191,5149,
8,,-0.813491940498352,5199,
8,,-1.0924952030181885,5249,
8,,-1.2702972888946533,5299,
8,,-0.7541372776031494,5349,
8,,-0.5415475368499756,5399,
8,,-0.8620770573616028,5449,
,-0.7109657526016235,,5472,
8,,,5471,-0.7109657526016235
9,,-0.6548098921775818,5499,
9,,-0.33954569697380066,5549,
9,,-1.1305745840072632,5599,
9,,-1.1439619064331055,5649,
9,,-1.2915728092193604,5699,
9,,-1.1471465826034546,5749,
9,,-1.0078794956207275,5799,
9,,0.027050882577896118,5849,
9,,-2.0014266967773438,5899,
9,,-0.04353894293308258,5949,
9,,-0.6636853218078613,5999,
9,,-1.5710318088531494,6049,
,-0.8422842025756836,,6080,
9,,,6079,-0.8422842025756836
10,,-1.3083637952804565,6099,
10,,-1.1617565155029297,6149,
10,,0.0340593159198761,6199,
10,,-0.7427160739898682,6249,
10,,-1.47694730758667,6299,
10,,-1.7172234058380127,6349,
10,,-0.8522365093231201,6399,
10,,-0.6279974579811096,6449,
10,,-0.26237955689430237,6499,
10,,-1.6507587432861328,6549,
10,,-0.7576904296875,6599,
10,,-0.9564305543899536,6649,
,-0.8382145762443542,,6688,
10,,,6687,-0.8382145762443542
11,,-1.1591343879699707,6699,
11,,-0.6645493507385254,6749,
11,,-1.9738166332244873,6799,
11,,-0.339375376701355,6849,
11,,-2.237743616104126,6899,
11,,-2.526836395263672,6949,
11,,-0.18936662375926971,6999,
11,,-0.11052694171667099,7049,
11,,-0.32119929790496826,7099,
11,,0.019097983837127686,7149,
11,,-1.9012168645858765,7199,
11,,-0.6214739084243774,7249,
,-0.862133800983429,,7296,
11,,,7295,-0.862133800983429
12,,-0.6139628291130066,7299,
12,,-0.7241004705429077,7349,
12,,-0.5384038686752319,7399,
12,,-0.4918428063392639,7449,
12,,-1.50191330909729,7499,
12,,-0.5346887707710266,7549,
12,,-1.690557837486267,7599,
12,,-1.4048662185668945,7649,
12,,-0.8254531621932983,7699,
12,,-0.23950707912445068,7749,
12,,-0.3355572521686554,7799,
12,,-1.632960319519043,7849,
12,,-1.7887475490570068,7899,
,-0.8749026656150818,,7904,
12,,,7903,-0.8749026656150818
13,,-1.3385541439056396,7949,
13,,-1.16525137424469,7999,
13,,-0.5599542856216431,8049,
13,,-1.6655775308609009,8099,
13,,-0.9324017763137817,8149,
13,,-1.5255398750305176,8199,
13,,-0.106052465736866,8249,
13,,-1.0431095361709595,8299,
13,,-0.6537695527076721,8349,
13,,-0.7728669047355652,8399,
13,,-0.09663048386573792,8449,
13,,-1.523021936416626,8499,
,-0.8109655976295471,,8512,
13,,,8511,-0.8109655976295471
14,,-1.0003111362457275,8549,
14,,-0.5924301743507385,8599,
14,,-0.2979269325733185,8649,
14,,0.10893218219280243,8699,
14,,-0.21991783380508423,8749,
14,,-0.2518651485443115,8799,
14,,-1.1391751766204834,8849,
14,,-0.04104280471801758,8899,
14,,-1.6509802341461182,8949,
14,,-0.009158194065093994,8999,
14,,-0.5653783679008484,9049,
14,,-0.8641775846481323,9099,
,-0.904941737651825,,9120,
14,,,9119,-0.904941737651825
15,,-0.23253020644187927,9149,
15,,-0.37807410955429077,9199,
15,,0.26162007451057434,9249,
15,,-0.3413619101047516,9299,
15,,-0.5013850927352905,9349,
15,,-1.398502230644226,9399,
15,,-1.1584590673446655,9449,
15,,-0.5511736869812012,9499,
15,,0.13051238656044006,9549,
15,,-1.1283581256866455,9599,
15,,-0.5292673707008362,9649,
15,,-1.2010715007781982,9699,
,-0.8998333811759949,,9728,
15,,,9727,-0.8998333811759949
16,,-1.2274651527404785,9749,
16,,-0.8920100927352905,9799,
16,,-0.9802657961845398,9849,
16,,-1.149393081665039,9899,
16,,-0.925279438495636,9949,
16,,-1.9679492712020874,9999,
16,,-0.5683454275131226,10049,
16,,-0.593563973903656,10099,
16,,-0.5214056372642517,10149,
16,,-1.0926928520202637,10199,
16,,-0.6994532942771912,10249,
16,,-3.2145371437072754,10299,
,-0.8293137550354004,,10336,
16,,,10335,-0.8293137550354004
17,,-0.6588345766067505,10349,
17,,-1.274379014968872,10399,
17,,-2.149340867996216,10449,
17,,-0.9105446934700012,10499,
17,,-0.7361440062522888,10549,
17,,-1.2655651569366455,10599,
17,,-1.0831605195999146,10649,
17,,-1.8915472030639648,10699,
17,,-1.2216145992279053,10749,
17,,-1.5599982738494873,10799,
17,,-1.3798257112503052,10849,
17,,-0.5764377117156982,10899,
,-0.8799936771392822,,10944,
17,,,10943,-0.8799936771392822
18,,-1.6735427379608154,10949,
18,,-1.5366216897964478,10999,
18,,-0.8489397764205933,11049,
18,,-1.2354786396026611,11099,
18,,-2.0263843536376953,11149,
18,,-0.4453328847885132,11199,
18,,-1.5541088581085205,11249,
18,,-4.519715309143066,11299,
18,,-0.5983536243438721,11349,
18,,-0.08664581179618835,11399,
18,,-0.788775622844696,11449,
18,,-1.3226149082183838,11499,
18,,-0.9446399211883545,11549,
,-0.942418098449707,,11552,
18,,,11551,-0.942418098449707
19,,-1.0542083978652954,11599,
19,,-0.5317385196685791,11649,
19,,-0.23887869715690613,11699,
19,,-0.7773525714874268,11749,
19,,-1.0958894491195679,11799,
19,,-0.6085126399993896,11849,
19,,-0.3894885778427124,11899,
19,,-0.5030282735824585,11949,
19,,-0.25932177901268005,11999,
19,,-1.6478209495544434,12049,
19,,-0.2850147485733032,12099,
19,,-0.39353588223457336,12149,
,-0.9421117305755615,,12160,
19,,,12159,-0.9421117305755615
20,,-0.9141276478767395,12199,
20,,-1.0282255411148071,12249,
20,,-0.6118801832199097,12299,
20,,-1.169474720954895,12349,
20,,-0.2895212769508362,12399,
20,,-0.09020447731018066,12449,
20,,-0.8947913646697998,12499,
20,,-1.6580250263214111,12549,
20,,-1.350846290588379,12599,
20,,-1.1199171543121338,12649,
20,,-0.7782444357872009,12699,
20,,-0.6486080288887024,12749,
,-0.8989946842193604,,12768,
20,,,12767,-0.8989946842193604
21,,-1.430070161819458,12799,
21,,-0.31549012660980225,12849,
21,,-0.7490030527114868,12899,
21,,-0.8534085750579834,12949,
21,,-1.181963324546814,12999,
21,,-0.7669308185577393,13049,
21,,-0.21046817302703857,13099,
21,,-3.3844263553619385,13149,
21,,-0.7471696138381958,13199,
21,,-1.3734798431396484,13249,
21,,-1.1592823266983032,13299,
21,,-0.751976728439331,13349,
,-0.8969748020172119,,13376,
21,,,13375,-0.8969748020172119
22,,-1.1822552680969238,13399,
22,,-2.4758334159851074,13449,
22,,-1.0224943161010742,13499,
22,,-0.45051729679107666,13549,
22,,-0.9129942059516907,13599,
22,,-0.875813364982605,13649,
22,,-1.352174997329712,13699,
22,,-2.1715383529663086,13749,
22,,-0.8644909262657166,13799,
22,,-0.3793308734893799,13849,
22,,-0.9382972121238708,13899,
22,,-1.1289291381835938,13949,
,-0.9871747493743896,,13984,
22,,,13983,-0.9871747493743896
23,,-0.1793033480644226,13999,
23,,-0.7009502053260803,14049,
23,,-0.8095951080322266,14099,
23,,-0.760140597820282,14149,
23,,-0.49656885862350464,14199,
23,,-0.748744010925293,14249,
23,,-0.33372312784194946,14299,
23,,-0.5449811816215515,14349,
23,,-0.94500732421875,14399,
23,,-1.1992868185043335,14449,
23,,-0.6204965114593506,14499,
23,,-1.2588120698928833,14549,
,-0.8783383369445801,,14592,
23,,,14591,-0.8783383369445801
24,,-0.697126030921936,14599,
24,,-0.9897617101669312,14649,
24,,-0.6028913855552673,14699,
24,,-1.1428442001342773,14749,
24,,-1.1097168922424316,14799,
24,,-1.6069200038909912,14849,
24,,-2.205826759338379,14899,
24,,-1.314934492111206,14949,
24,,-0.17330162227153778,14999,
24,,-0.5616191029548645,15049,
24,,-0.7196146845817566,15099,
24,,-2.0796279907226562,15149,
24,,-2.9358983039855957,15199,
,-0.950297474861145,,15200,
