epoch,hp_metric,loss,step,val_loss
,8.703065872192383,,0,
0,,-0.039700984954833984,49,
0,,-1.1938213109970093,99,
0,,-0.5867372155189514,149,
0,,0.637759804725647,199,
0,,-0.2435970902442932,249,
,-0.41183212399482727,,288,
0,,,287,-0.41183212399482727
1,,-0.08730880916118622,299,
1,,-0.4864557385444641,349,
1,,-0.30620670318603516,399,
1,,-0.3898787796497345,449,
1,,-0.8915133476257324,499,
1,,-0.2347288578748703,549,
,-0.4808407127857208,,576,
1,,,575,-0.4808407127857208
2,,-0.29549798369407654,599,
2,,0.13193070888519287,649,
2,,-0.22832337021827698,699,
2,,-0.15771672129631042,749,
2,,-0.03760674595832825,799,
2,,0.09785901755094528,849,
,-0.39644163846969604,,864,
2,,,863,-0.39644163846969604
3,,-0.39480963349342346,899,
3,,-1.1413064002990723,949,
3,,-0.44605425000190735,999,
3,,-0.041782721877098083,1049,
3,,0.029784608632326126,1099,
3,,0.061804965138435364,1149,
,-0.4097746014595032,,1152,
3,,,1151,-0.4097746014595032
4,,-0.5589132905006409,1199,
4,,0.49870842695236206,1249,
4,,-0.6925216913223267,1299,
4,,0.10270249843597412,1349,
4,,0.012892067432403564,1399,
,-0.47098952531814575,,1440,
4,,,1439,-0.47098952531814575
5,,-0.161550834774971,1449,
5,,0.17210999131202698,1499,
5,,-0.31282931566238403,1549,
5,,0.14400842785835266,1599,
5,,-0.2748083174228668,1649,
5,,-0.20963023602962494,1699,
,-0.5017606019973755,,1728,
5,,,1727,-0.5017606019973755
6,,-0.9546504616737366,1749,
6,,0.33105623722076416,1799,
6,,1.0369685888290405,1849,
6,,-0.43735039234161377,1899,
6,,-0.3347436487674713,1949,
6,,-1.2173609733581543,1999,
,-0.5385792255401611,,2016,
6,,,2015,-0.5385792255401611
7,,-1.8835651874542236,2049,
7,,1.0077322721481323,2099,
7,,-1.7102057933807373,2149,
7,,-0.5252618789672852,2199,
7,,-0.07722711563110352,2249,
7,,-1.3599740266799927,2299,
,-0.44981658458709717,,2304,
7,,,2303,-0.44981658458709717
8,,-1.5079059600830078,2349,
8,,-0.42797547578811646,2399,
8,,-0.8965884447097778,2449,
8,,-0.3197159767150879,2499,
8,,-0.3977864980697632,2549,
,-0.5220231413841248,,2592,
8,,,2591,-0.5220231413841248
9,,-1.0879340171813965,2599,
9,,-0.37627488374710083,2649,
9,,-0.6301349401473999,2699,
9,,-0.16674324870109558,2749,
9,,-0.6493425965309143,2799,
9,,-0.4575777053833008,2849,
,-0.5827949047088623,,2880,
9,,,2879,-0.5827949047088623
10,,-0.8805264830589294,2899,
10,,-0.7512142658233643,2949,
10,,-0.5918675661087036,2999,
10,,0.0983102023601532,3049,
10,,-0.3565513789653778,3099,
10,,-0.3212212324142456,3149,
,-0.3333494961261749,,3168,
10,,,3167,-0.3333494961261749
11,,-0.8449683785438538,3199,
11,,-0.2547338008880615,3249,
11,,-0.9921200275421143,3299,
11,,-0.5306769609451294,3349,
11,,-1.1322588920593262,3399,
11,,0.2389979362487793,3449,
,-0.5223293900489807,,3456,
11,,,3455,-0.5223293900489807
12,,-0.7502844333648682,3499,
12,,-0.41143202781677246,3549,
12,,-0.332093745470047,3599,
12,,-0.79219651222229,3649,
12,,-0.6198164820671082,3699,
,-0.6047438979148865,,3744,
12,,,3743,-0.6047438979148865
13,,-0.9757257699966431,3749,
13,,-0.5202534198760986,3799,
13,,-0.6954291462898254,3849,
13,,1.9200592041015625,3899,
13,,-0.9741755723953247,3949,
13,,-1.6055599451065063,3999,
,-0.5652430653572083,,4032,
13,,,4031,-0.5652430653572083
14,,-1.0546181201934814,4049,
14,,-0.5746629238128662,4099,
14,,-0.9584916234016418,4149,
14,,-0.5465695858001709,4199,
14,,-1.0181435346603394,4249,
14,,-0.5822844505310059,4299,
,-0.5966456532478333,,4320,
14,,,4319,-0.5966456532478333
15,,-0.7270783185958862,4349,
15,,-0.36704933643341064,4399,
15,,-0.40432852506637573,4449,
15,,0.8061841726303101,4499,
15,,-0.15134680271148682,4549,
15,,0.04602934420108795,4599,
,-0.5653532147407532,,4608,
15,,,4607,-0.5653532147407532
16,,0.20942768454551697,4649,
16,,-0.5321751832962036,4699,
16,,-0.40485358238220215,4749,
16,,-0.6648818850517273,4799,
16,,-1.2581801414489746,4849,
,-0.613842248916626,,4896,
16,,,4895,-0.613842248916626
17,,-0.7929298877716064,4899,
17,,-1.094907283782959,4949,
17,,-0.5253019332885742,4999,
17,,-0.4686867296695709,5049,
17,,-0.7014939188957214,5099,
17,,-1.0137194395065308,5149,
,-0.5444512963294983,,5184,
17,,,5183,-0.5444512963294983
18,,-0.4877161681652069,5199,
18,,-0.8965684175491333,5249,
18,,-0.2061501443386078,5299,
18,,-0.5590928792953491,5349,
18,,-0.250473290681839,5399,
18,,-0.915554404258728,5449,
,-0.663302481174469,,5472,
18,,,5471,-0.663302481174469
19,,-0.47331321239471436,5499,
19,,-0.08595827221870422,5549,
19,,0.3536122143268585,5599,
19,,-0.6932735443115234,5649,
19,,-2.1565723419189453,5699,
19,,-0.6518267393112183,5749,
,-0.6498156189918518,,5760,
19,,,5759,-0.6498156189918518
20,,-0.40597182512283325,5799,
20,,-1.076574683189392,5849,
20,,-0.8313518762588501,5899,
20,,-1.710247278213501,5949,
20,,-0.7794569730758667,5999,
,-0.495368093252182,,6048,
20,,,6047,-0.495368093252182
21,,-2.2305264472961426,6049,
21,,-0.48052188754081726,6099,
21,,-0.966404378414154,6149,
21,,-0.11631274223327637,6199,
21,,-0.30795079469680786,6249,
21,,-0.25042712688446045,6299,
,-0.6009054780006409,,6336,
21,,,6335,-0.6009054780006409
22,,-0.5790161490440369,6349,
22,,-0.3314259350299835,6399,
22,,-0.15565137565135956,6449,
22,,-0.6120789051055908,6499,
22,,-1.03566575050354,6549,
22,,-0.7699234485626221,6599,
,-0.6572221517562866,,6624,
22,,,6623,-0.6572221517562866
23,,0.4354196786880493,6649,
23,,0.11902573704719543,6699,
23,,-0.030941277742385864,6749,
23,,-0.3001011312007904,6799,
23,,-0.4929032623767853,6849,
23,,-0.4476505219936371,6899,
,-0.6214318871498108,,6912,
23,,,6911,-0.6214318871498108
